Nutritional Key,Calories,Protein,Fat,Fiber,Sat.Fat,Carbs,Multiplier
1,2968.75,125.0,250.0,0.0,218.75,31.25,31.25
2,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942
3,458.05357142857144,462.1071428571429,466.16071428571433,117.0,470.2142857142857,478.3214285714286,4.053571428571429
4,171.2962962962963,1.8518518518518519,16.666666666666668,1.8,11.11111111111111,5.555555555555555,0.9259259259259259
5,1409.0909090909092,18.181818181818183,9.090909090909092,1.0,0.0,327.2727272727273,9.090909090909092
6,8928.57142857143,0.0,1000.0,0.0,214.28571428571428,0.0,71.42857142857143
7,6000.0,240.0,500.0,0.9,340.0,180.0,20.0
8,1214.2857142857142,37.142857142857146,108.57142857142857,1.8,80.0,37.142857142857146,2.857142857142857
9,2610.0,117.0,225.0,1.2,144.0,81.0,9.0
10,2240.0,96.0,208.0,1.9,56.0,80.0,8.0
